xcoord	xcoord	ycoord	lab	tumor	tumor_id
E1_6_23	6	23	L236	tumor	T0
E1_7_23	7	23	L237	tumor	T0
E1_16_23	16	23	L238	tumor	T0
E1_9_24	9	24	L239	tumor	T0
E1_11_24	11	24	L240	tumor	T0
E1_10_24	10	24	L241	tumor	T0
E1_8_24	8	24	L242	tumor	T0
E1_16_24	16	24	L243	tumor	T0
E1_18_24	18	24	L244	tumor	T0
E1_5_24	5	24	L245	tumor	T0
E1_17_24	17	24	L246	tumor	T0
E1_7_24	7	24	L247	tumor	T0
E1_15_24	15	24	L248	tumor	T0
E1_13_24	13	24	L249	tumor	T0
E1_14_24	14	24	L250	tumor	T0
E1_6_24	6	24	L251	tumor	T0
E1_12_24	12	24	L252	tumor	T0
E1_9_25	9	25	L253	tumor	T0
E1_11_25	11	25	L254	tumor	T0
E1_16_25	16	25	L255	tumor	T0
E1_10_25	10	25	L256	tumor	T0
E1_7_25	7	25	L257	tumor	T0
E1_15_25	15	25	L258	tumor	T0
E1_5_25	5	25	L259	tumor	T0
E1_6_25	6	25	L260	tumor	T0
E1_8_25	8	25	L261	tumor	T0
E1_14_25	14	25	L262	tumor	T0
E1_13_25	13	25	L263	tumor	T0
E1_12_25	12	25	L264	tumor	T0
E1_10_26	10	26	L265	tumor	T0
E1_8_26	8	26	L266	tumor	T0
E1_11_26	11	26	L267	tumor	T0
E1_5_26	5	26	L268	tumor	T0
E1_7_26	7	26	L269	tumor	T0
E1_9_26	9	26	L270	tumor	T0
E1_13_26	13	26	L271	tumor	T0
E1_12_26	12	26	L272	tumor	T0
E1_6_26	6	26	L273	tumor	T0
E1_6_27	6	27	L274	tumor	T0
E1_10_27	10	27	L275	tumor	T0
E1_11_27	11	27	L276	tumor	T0
E1_9_27	9	27	L277	tumor	T0
E1_5_27	5	27	L278	tumor	T0
E1_8_27	8	27	L279	tumor	T0
E1_4_27	4	27	L280	tumor	T0
E1_7_27	7	27	L281	tumor	T0
E1_8_28	8	28	L282	tumor	T0
E1_7_28	7	28	L283	tumor	T0
