xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_17.929_25.001	17.929000000000002	25.000999999999998	L278	tumor	T0
E2_12.99_25.007	12.99	25.006999999999998	L279	tumor	T0
E2_12.063_25.033	12.062999999999999	25.033	L280	tumor	T0
E2_14.999_25.022	14.999	25.022	L281	tumor	T0
E2_16.914_25.015	16.914	25.015	L282	tumor	T0
E2_13.981_25.027	13.981	25.026999999999997	L283	tumor	T0
E2_21.928_25.969	21.928	25.969	L284	tumor	T0
E2_10.91_26	10.91	26.0	L285	tumor	T0
E2_9.891_25.991	9.891	25.991	L286	tumor	T0
E2_20.933_25.984	20.933000000000003	25.984	L287	non	non
E2_18.935_25.99	18.935	25.99	L288	tumor	T0
E2_19.994_26.005	19.994	26.005	L289	non	non
E2_8.96_26.024	8.96	26.024	L290	tumor	T0
E2_14.971_26.018	14.970999999999998	26.018	L291	tumor	T0
E2_15.932_26.008	15.932	26.008000000000003	L292	tumor	T0
E2_13.022_26.022	13.022	26.022	L293	tumor	T0
E2_17.934_26.006	17.934	26.006	L294	tumor	T0
E2_13.981_26.022	13.981	26.022	L295	tumor	T0
E2_16.914_26.019	16.914	26.019000000000002	L296	tumor	T0
E2_12.041_26.062	12.040999999999999	26.061999999999998	L297	tumor	T0
E2_20.926_26.985	20.926	26.985	L298	tumor	T0
E2_21.97_27.001	21.97	27.000999999999998	L299	tumor	T0
E2_17.942_27.004	17.942	27.004	L300	tumor	T0
E2_18.949_27.007	18.949	27.006999999999998	L301	tumor	T0
E2_19.993_27.009	19.993	27.009	L302	tumor	T0
E2_16.906_27.027	16.906	27.026999999999997	L303	tumor	T0
E2_15.938_27.018	15.937999999999999	27.018	L304	tumor	T0
E2_13.001_27.032	13.001	27.031999999999996	L305	tumor	T0
E2_13.993_27.034	13.993	27.034000000000002	L306	tumor	T0
E2_12.041_27.04	12.040999999999999	27.04	L307	non	non
E2_15.012_27.045	15.012	27.045	L308	tumor	T0
E2_21.975_27.978	21.975	27.978	L309	non	non
E2_20.92_27.998	20.92	27.998	L310	non	non
E2_16.003_28.023	16.003	28.023000000000003	L311	tumor	T0
E2_18.957_28.027	18.957	28.026999999999997	L312	tumor	T0
E2_19.993_28.039	19.993	28.039	L313	non	non
E2_14.998_28.031	14.998	28.031	L314	non	non
E2_16.923_28.045	16.923	28.045	L315	tumor	T0
E2_17.958_28.046	17.958	28.046	L316	tumor	T0
E2_17.96_29.022	17.96	29.022	L317	non	non
E2_16.911_29.039	16.910999999999998	29.039	L318	non	non
