"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000149292",0.129342068778384,-0.158826732194402,0.91466869857118,-0.173644000764985,0.862145249672912,0.999991084508475
"ENSG00000149308",0.288974830930625,-0.0511472531081238,0.469455838451532,-0.108950084158777,0.91324208163115,0.999991084508475
"ENSG00000149311",0.846457818559206,0.179898928020463,0.285848243996775,0.629351174263267,0.529119175563322,0.999991084508475
"ENSG00000149313",0.43196410153038,-0.316361411030238,0.364161946562972,-0.868738246859992,0.384990316659543,0.999991084508475
"ENSG00000149328",0.708960419458409,-0.0497859077152814,0.311271624372662,-0.159943611357508,0.87292549382195,0.999991084508475
"ENSG00000149346",0.124798043553225,-0.113554436368567,0.933621930416131,-0.121627858846411,0.903193749116674,0.999991084508475
"ENSG00000149357",3.24070314681013,-0.166759850784337,0.147216318747045,-1.13275384280511,0.257317639765417,0.999991084508475
"ENSG00000149418",12.5315137257203,0.144941048108251,0.0801099136687959,1.80927729753262,0.070407934143291,0.999991084508475
"ENSG00000149428",6.82821231921588,0.0270869617644365,0.121934146866398,0.222144185698166,0.824201641844962,0.999991084508475
"ENSG00000149435",0.489171726703483,-0.0339801074169963,0.388121350304431,-0.0875502143603881,0.930234173339024,0.999991084508475
"ENSG00000149451",0.0985123972490696,-0.0249976455758531,1.49762369337991,-0.0166915398616839,0.986682696434657,0.999991084508475
"ENSG00000149474",0.299685450702176,0.0645011559022464,0.461678516250179,0.139710109160232,0.888889038794685,0.999991084508475
"ENSG00000149476",1.77032090039002,-0.105956877144888,0.211106107162432,-0.501912893800657,0.615728795037679,0.999991084508475
"ENSG00000149480",1.79960851266289,-0.136331973345373,0.221313452925318,-0.616013041879464,0.537885912222307,0.999991084508475
"ENSG00000149483",1.17973419914468,0.0630586592458835,0.238037702857211,0.264910383897083,0.791078498846048,0.999991084508475
"ENSG00000149485",0.497050348258874,0.310102523665853,0.365720270302995,0.847922712648486,0.396481014597871,0.999991084508475
"ENSG00000149489",0.0774018644202212,0.175211463282579,1.80817616825242,0.0968995534610542,0.9228061634261,0.999991084508475
"ENSG00000149499",4.47047397346888,0.0364558919811002,0.133951363489765,0.272157677468403,0.785500782405722,0.999991084508475
"ENSG00000149503",0.17653351336507,-0.233187225937086,0.756356705824192,-0.308303243881451,0.757851597929831,0.999991084508475
"ENSG00000149527",0.142011134014633,0.326174604826582,1.10970615098135,0.293928806772977,0.76881230525643,0.999991084508475
"ENSG00000149531",0.236138217221951,0.0679896574493371,0.544641666516849,0.124833742310154,0.900655173825648,0.999991084508475
"ENSG00000149532",0.768397317394937,-0.0870431458372645,0.298828017324319,-0.291281743313902,0.770835849103093,0.999991084508475
"ENSG00000149541",10.415386832754,0.0280242081285333,0.0810818411913108,0.345628660089388,0.729621804291139,0.999991084508475
"ENSG00000149547",0.975165564190077,-0.0115695303486393,0.261159924272333,-0.0443005579086279,0.964664826965998,0.999991084508475
"ENSG00000149554",0.198998212617227,0.241468674305281,0.684194380019469,0.352924083209234,0.72414535533612,0.999991084508475
"ENSG00000149557",0.100356326652856,0.0360300995024478,1.17973902466647,0.0305407371877301,0.975635804944094,0.999991084508475
"ENSG00000149564",0.44790178376302,-0.64003957339828,0.608612285658023,-1.05163761639527,0.292965842511689,0.999991084508475
"ENSG00000149573",0.241431095685879,0.279581443377723,0.601097934835735,0.465117956950103,0.641846987269436,0.999991084508475
"ENSG00000149577",1.94461596779872,0.0509995713362262,0.196862644619654,0.259061699769194,0.795587635371299,0.999991084508475
"ENSG00000149582",0.662072183435538,-0.43479496226001,0.326398711268675,-1.33209766843138,0.182828096413186,0.999991084508475
"ENSG00000149591",20.6096300529817,0.0289196519784694,0.0718014287938929,0.402772653194461,0.68711548065959,0.999991084508475
"ENSG00000149596",0.805490934872973,0.030862276262341,0.277924091304637,0.111045703585705,0.911580104598711,0.999991084508475
"ENSG00000149599",0.163110487958375,0.255848846116071,0.895148188172255,0.285817308794951,0.775018050405794,0.999991084508475
"ENSG00000149600",1.22564532904728,-0.0706919463347581,0.23084603346073,-0.306229850584736,0.759429645958737,0.999991084508475
"ENSG00000149633",0.425060269518165,-0.0674938991921111,0.428731254594403,-0.157427055920994,0.874908291763025,0.999991084508475
"ENSG00000149636",0.619615637273865,1.02743075726605,0.38436512862276,2.67305923653246,0.00751629767164599,0.999991084508475
"ENSG00000149639",0.487010277638605,0.140272934787426,0.338849168723756,0.413968655480993,0.67889706231005,0.999991084508475
"ENSG00000149646",0.0526238685590794,0.0231770006396989,2.54469753421123,0.00910795893347028,0.992733000658916,0.999991084508475
"ENSG00000149657",0.261609097419513,-0.287766802672867,0.473201820646519,-0.60812699807389,0.543103247365061,0.999991084508475
"ENSG00000149658",1.63979288699015,0.060829576815115,0.227339915392137,0.267571036569582,0.789029527727627,0.999991084508475
"ENSG00000149679",0.209345617405336,0.404969163191438,0.631411618633458,0.641371098092712,0.521281606146047,0.999991084508475
"ENSG00000149716",0.809971216461209,-0.357548452193932,0.279863120365035,-1.27758331189751,0.201396387802041,0.999991084508475
"ENSG00000149743",1.29586700993146,-0.0375695527123419,0.251860120384171,-0.149168326668929,0.881420811991968,0.999991084508475
"ENSG00000149761",6.52651448465266,0.32042217687753,0.113055450655948,2.83420370285943,0.00459400377996391,0.999991084508475
"ENSG00000149781",3.23088996461194,0.128195952274667,0.155726054319194,0.823214540656776,0.410386001468301,0.999991084508475
"ENSG00000149782",2.16818091567237,-0.180756609818142,0.181010017680762,-0.998600034043048,0.317988483656126,0.999991084508475
"ENSG00000149792",0.939074710064407,0.0856235116412054,0.273862200856704,0.312651805810935,0.754545214448634,0.999991084508475
"ENSG00000149798",1.03096811275135,0.399508740135652,0.261828682941947,1.52584023891772,0.1270496567384,0.999991084508475
"ENSG00000149806",31.7950409669031,-0.109380639824339,0.052458734820876,-2.08507963826858,0.0370620722045751,0.999991084508475
"ENSG00000149809",8.3380612253143,0.043524350268873,0.0977408708948377,0.445303483285944,0.656100450947431,0.999991084508475
"ENSG00000149823",7.43438400997573,0.0658377947857539,0.107623901823492,0.611739526910398,0.540710105598492,0.999991084508475
"ENSG00000149922",0.182026299518531,-0.104223602923476,0.701671897881341,-0.148536093918216,0.881919703046144,0.999991084508475
